"Date","Price","Open","High","Low","Change %"
"09/13/2022","115.22","115.78","115.78","115.23","-0.63%"
"09/12/2022","115.95","115.95","115.95","115.95","-0.11%"
"09/09/2022","116.08","116.88","116.88","116.06","-0.20%"
"09/08/2022","116.31","115.95","117.00","115.89","-0.18%"
"09/07/2022","116.52","116.00","116.00","116.00","0.50%"
"09/06/2022","115.94","115.94","115.94","115.94","-0.40%"
"09/05/2022","116.41","116.61","116.69","116.14","-0.17%"
"09/04/2022","116.61","116.66","116.84","116.61","-0.33%"
"09/02/2022","117.00","117.00","117.00","117.00","0.76%"
"09/01/2022","116.12","116.31","116.31","116.12","-0.75%"
"08/31/2022","117.00","117.47","117.47","116.42","-0.07%"
"08/30/2022","117.08","117.08","117.08","117.08","-0.03%"
"08/29/2022","117.11","117.11","117.11","117.11","-0.48%"
"08/26/2022","117.67","117.89","117.89","117.89","-0.19%"
"08/25/2022","117.89","117.75","117.75","117.75","0.47%"
"08/24/2022","117.34","117.34","117.34","117.34","-0.33%"
"08/23/2022","117.73","117.73","117.73","117.73","-0.07%"
"08/22/2022","117.81","118.22","118.22","118.22","-0.35%"
"08/19/2022","118.22","118.22","118.22","118.22","-0.63%"
"08/18/2022","118.97","118.97","118.97","118.97","0.08%"
"08/17/2022","118.88","119.41","119.41","119.41","-0.52%"
"08/16/2022","119.50","119.50","119.50","119.50","-0.26%"
"08/15/2022","119.81","119.81","119.81","119.81","0.36%"
"08/12/2022","119.38","119.38","119.38","119.38","0.15%"
"08/11/2022","119.20","119.20","119.20","119.20","-0.55%"
"08/10/2022","119.86","119.86","119.86","119.86","0.23%"
"08/09/2022","119.59","119.59","119.59","119.59","-0.30%"
"08/08/2022","119.95","119.95","119.95","119.95","0.42%"
"08/05/2022","119.45","119.45","119.45","119.45","-1.12%"
"08/04/2022","120.80","120.80","120.80","120.80","0.55%"
"08/03/2022","120.14","120.14","120.14","120.14","-0.02%"
"08/02/2022","120.16","120.16","120.16","120.16","-1.01%"
"08/01/2022","121.39","121.39","121.39","121.39","0.21%"
"07/29/2022","121.14","121.00","121.03","121.00","0.14%"
"07/28/2022","120.97","120.97","120.97","120.97","0.47%"
"07/27/2022","120.41","120.41","120.41","120.41","0.48%"
"07/26/2022","119.84","119.84","119.84","119.84","0.23%"
"07/25/2022","119.56","119.56","119.56","119.56","-0.18%"
"07/22/2022","119.78","119.78","119.78","119.78","0.84%"
"07/21/2022","118.78","118.78","118.78","118.78","0.95%"
"07/20/2022","117.66","117.66","117.66","117.66","-0.19%"
"07/19/2022","117.88","117.88","117.88","117.88","-0.42%"
"07/18/2022","118.38","118.38","118.38","118.38","-0.15%"
"07/15/2022","118.56","118.56","118.56","118.56","0.12%"
"07/14/2022","118.42","118.42","118.42","118.42","-0.29%"
"07/13/2022","118.77","118.77","118.77","118.77","0.25%"
"07/12/2022","118.47","118.47","118.47","118.47","0.24%"
"07/11/2022","118.19","118.19","118.19","118.19","0.66%"
"07/08/2022","117.42","117.42","117.42","117.42","-0.56%"
"07/07/2022","118.08","118.08","118.08","118.08","-0.67%"
"07/06/2022","118.88","118.88","118.88","118.88","-0.61%"
"07/05/2022","119.61","119.61","119.61","119.61","0.42%"
"07/04/2022","119.11","119.39","119.64","119.06","-0.22%"
"07/03/2022","119.38","119.45","119.50","119.31","0.36%"
"07/01/2022","118.95","118.95","118.95","118.95","0.47%"
"06/30/2022","118.39","118.39","118.39","118.39","0.86%"
"06/29/2022","117.38","117.38","117.38","117.38","0.70%"
"06/28/2022","116.56","116.56","116.56","116.56","-0.09%"
"06/27/2022","116.67","116.67","116.67","116.67","-0.45%"
"06/24/2022","117.20","117.20","117.20","117.20","-0.12%"
"06/23/2022","117.34","117.34","117.34","117.34","0.46%"
"06/22/2022","116.80","116.80","116.80","116.80","1.00%"
"06/21/2022","115.64","115.64","115.64","115.64","-0.24%"
"06/20/2022","115.92","115.95","116.33","115.88","-0.03%"
"06/19/2022","115.95","116.20","116.20","115.78","-0.63%"
"06/17/2022","116.69","116.75","117.05","116.25","0.30%"
"06/16/2022","116.34","115.86","116.33","115.16","0.56%"
"06/15/2022","115.69","114.94","116.39","114.94","0.63%"
"06/14/2022","114.97","115.88","116.64","114.98","-0.72%"
"06/13/2022","115.80","117.03","117.09","115.25","-1.29%"
"06/10/2022","117.31","118.45","118.62","117.25","-0.94%"
"06/09/2022","118.42","118.55","118.73","118.25","-0.16%"
"06/08/2022","118.61","118.89","118.89","118.50","-0.29%"
"06/07/2022","118.95","118.45","119.05","118.23","0.42%"
"06/06/2022","118.45","119.12","119.23","118.42","-0.50%"
"06/03/2022","119.05","119.27","119.36","118.84","-0.19%"
"06/02/2022","119.28","119.20","119.36","119.00","0.19%"
"06/01/2022","119.05","119.80","119.88","118.92","-0.66%"
"05/31/2022","119.84","120.52","120.58","119.58","-0.11%"
"05/30/2022","119.97","120.56","120.56","119.95","-0.48%"
"05/29/2022","120.55","120.50","120.58","120.47","0.06%"
"05/27/2022","120.48","120.61","120.84","120.44","-0.09%"
"05/26/2022","120.59","120.59","120.97","120.31","0.00%"
"05/25/2022","120.59","120.41","120.81","120.30","0.17%"
"05/24/2022","120.38","119.66","120.69","119.56","0.67%"
"05/23/2022","119.58","120.11","120.11","119.48","-0.45%"
"05/20/2022","120.12","119.83","120.27","119.50","0.35%"
"05/19/2022","119.70","119.42","120.31","119.19","0.22%"
"05/18/2022","119.44","118.72","119.53","118.50","0.49%"
"05/17/2022","118.86","119.67","119.75","118.66","-0.68%"
"05/16/2022","119.67","119.20","119.86","119.05","0.33%"
"05/14/2022","119.28","119.28","119.28","119.28","0.09%"
"05/13/2022","119.17","119.72","119.73","119.09","-0.69%"
"05/12/2022","120.00","119.19","120.02","119.14","0.61%"
"05/11/2022","119.27","118.77","119.41","118.11","0.41%"
"05/10/2022","118.78","118.45","119.19","118.25","0.50%"
"05/09/2022","118.19","117.62","118.61","117.27","0.45%"
"05/07/2022","117.66","117.66","117.66","117.66","-0.12%"
"05/06/2022","117.80","118.19","118.30","117.58","-0.22%"
"05/05/2022","118.06","118.92","119.30","117.81","-0.92%"
"05/04/2022","119.16","118.38","119.20","118.14","0.54%"
"05/03/2022","118.52","118.39","118.94","118.14","0.15%"
"05/02/2022","118.34","118.75","119.06","118.22","-0.69%"
"04/29/2022","119.16","119.66","119.75","118.75","-0.17%"
"04/28/2022","119.36","119.69","120.03","119.20","-0.37%"
"04/27/2022","119.80","120.44","120.58","119.59","-0.21%"
"04/26/2022","120.05","119.53","120.50","119.23","0.37%"
"04/25/2022","119.61","118.95","120.19","118.83","0.56%"
"04/22/2022","118.94","118.72","119.14","118.25","0.16%"
"04/21/2022","118.75","119.52","119.56","118.44","-0.63%"
"04/20/2022","119.50","118.92","119.64","118.61","0.33%"
"04/19/2022","119.11","119.61","119.83","118.84","-0.44%"
"04/18/2022","119.64","119.80","120.02","119.36","-0.25%"
"04/14/2022","119.94","120.67","121.28","119.70","-0.71%"
"04/13/2022","120.80","120.42","121.22","119.97","0.25%"
"04/12/2022","120.50","119.72","120.81","119.33","0.63%"
"04/11/2022","119.75","120.00","120.09","119.53","-0.31%"
"04/08/2022","120.12","120.47","120.72","119.91","-0.36%"
"04/07/2022","120.55","120.77","121.20","120.39","-0.12%"
"04/06/2022","120.69","120.94","121.05","120.17","-0.19%"
"04/05/2022","120.92","122.14","122.31","120.80","-0.96%"
"04/04/2022","122.09","122.08","122.39","121.84","-0.05%"
"04/02/2022","122.16","122.16","122.16","122.16","-0.06%"
"04/01/2022","122.23","122.66","122.67","121.75","-0.53%"
"03/31/2022","122.88","122.70","123.12","122.58","0.21%"
"03/30/2022","122.62","122.33","122.83","122.02","0.24%"
"03/29/2022","122.33","121.75","122.44","121.09","0.52%"
"03/28/2022","121.70","121.67","122.19","120.95","0.12%"
"03/25/2022","121.55","122.69","122.94","121.50","-1.11%"
"03/24/2022","122.92","123.30","123.31","122.52","-0.18%"
"03/23/2022","123.14","122.64","123.38","122.38","0.18%"
"03/22/2022","122.92","123.50","123.75","122.95","-0.42%"
"03/21/2022","123.44","124.84","124.84","123.39","-1.12%"
"03/20/2022","124.84","124.83","124.84","124.83","0.03%"
"03/18/2022","124.81","124.67","125.03","124.66","0.23%"
"03/17/2022","124.52","124.75","125.03","124.45","0.06%"
"03/16/2022","124.45","124.94","125.34","124.05","-0.29%"
"03/15/2022","124.81","124.94","125.48","124.88","-0.11%"
"03/14/2022","124.95","126.20","126.20","124.89","-0.85%"
"03/11/2022","126.02","126.41","126.47","125.95","-0.06%"
"03/10/2022","126.09","126.66","126.83","126.05","-0.39%"
"03/09/2022","126.59","127.38","127.47","126.58","-0.46%"
"03/08/2022","127.17","127.95","128.05","127.14","-0.71%"
"03/07/2022","128.08","128.73","129.06","127.83","-0.35%"
"03/04/2022","128.53","127.55","128.83","127.55","0.76%"
"03/03/2022","127.56","127.38","127.70","127.16","0.20%"
"03/02/2022","127.31","128.45","128.86","127.08","-1.10%"
"03/01/2022","128.72","127.50","128.95","127.23","1.00%"
"02/28/2022","127.45","126.98","127.59","126.81","0.95%"
"02/25/2022","126.25","126.45","126.67","126.00","-0.17%"
"02/24/2022","126.47","126.19","127.39","126.19","0.15%"
"02/23/2022","126.28","126.52","126.61","126.09","-0.15%"
"02/22/2022","126.47","126.80","127.28","126.38","-0.53%"
"02/21/2022","127.14","126.81","127.22","126.47","0.26%"
"02/20/2022","126.81","126.77","126.92","126.73","0.11%"
"02/18/2022","126.67","126.48","126.80","126.22","0.20%"
"02/17/2022","126.42","125.80","126.48","125.78","0.48%"
"02/16/2022","125.81","125.70","126.03","125.64","0.06%"
"02/15/2022","125.73","126.03","126.20","125.58","-0.20%"
